Billing Code (HCPCS),Description,Category,MAPC per Unit of Measure (UOM),Quantity Limits Without Authorization
A4230,"Infusion set for external insulin pump\, non needle cannula type",Diabetic Supply,$10.07,24 per 27-day period
A4231,"Infusion set for external insulin pump\, needle type",Diabetic Supply,$5.10,24 per 27-day period
A4232,"Syringe with needle for external insulin pump\, sterile\, 3cc",Diabetic Supply,$2.09,24 per 27-day period
A4245,Alcohol wipes or 70% isopropyl alcohol swabsticks,Miscellaneous,$0.0144,200 per 27-day period
A4310,Insertion tray without drainage bag and without catheter (accessories only),Urological Supply,$7.33,9 per 81-day period
A4311,"Insertion tray without drainage bag with indwelling catheter\, foley type\, two-way latex with coating (teflon\, silicone\, silicone elastomer or hydrophilic\, etc.)",Urological Supply,$14.10,9 per 81-day period
A4312,"Insertion tray without drainage bag with indwelling catheter\, foley type\, two-way\, all silicone",Urological Supply,$17.14,9 per 81-day period
A4313,"Insertion tray without drainage bag with indwelling catheter\, foley type\, three-way\, for continuous irrigation",Urological Supply,$17.59,9 per 81-day period
A4314,"Insertion tray with drainage bag with indwelling catheter\, foley type\, two-way latex with coating (teflon\, silicone\, silicone elastomer or hydrophilic\, etc.)",Urological Supply,$24.03,9 per 81-day period
A4315,"Insertion tray with drainage bag with indwelling catheter\, foley type\, two-way\, all silicone",Urological Supply,$25.07,9 per 81-day period
A4316,"Insertion tray with drainage bag with indwelling catheter\, foley type\, three-way\, for continuous irrigation",Urological Supply,$26.98,9 per 81-day period
A4320,"Irrigation tray with bulb or piston syringe\, any purpose",Urological Supply,$4.30,90 per 81-day period
A4322,"Irrigation syringe\, bulb or piston\, each",Miscellaneous,$2.89,90 per 81-day period
A4326,"Male external catheter with integral collection chamber\,  any type\, each",Urological Supply,$9.35,90 per 81-day period
A4328,"Female external urinary collection device; pouch\, each",Urological Supply,$9.93,90 per 81-day period
A4331,"Extension drainage tubing\, any type\, any length\, with connector/adaptor\, for use with urinary leg bag or urostomy pouch\, each",Urological Supply,$3.02,12 per 81-day period
A4332,"Lubricant\, individual sterile packet",Miscellaneous,$0.0290,240 grams per 27-day period
A4333,"Urinary catheter anchoring device\, adhesive skin attachment\, each",Urological Supply,$7.50,18 per 81-day period
A4334,"Urinary catheter anchoring device\, leg strap\, each",Urological Supply,$4.68,18 per 81-day period
A4338,"Indwelling catheter; foley type\, two-way latex with coating (teflon\, silicone\, silicone elastomer\, or hydrophilic\, etc.)\, each",Urological Supply,$9.32,105 per 81-day period
A4340,"Indwelling catheter; specialty type\, eg; coude\, mushroom\, wing\, etc.)\, each",Urological Supply,$23.00,105 per 81-day period
A4344,"Indwelling catheter\, foley type\, two-way\, all silicone\, each",Urological Supply,$13.00,105 per 81-day period
A4346,"Indwelling catheter; foley type\, three way for continuous irrigation\, each",Urological Supply,$15.00,105 per 81-day period
A4349,"Male external catheter\, with or without adhesive\, disposable\, each",Urological Supply,$1.50,105 per 81-day period
A4354,Insertion tray with drainage bag but without catheter,Urological Supply,$11.21,9 per 81-day period
A4355,"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling foley catheter\, each",Urological Supply,$8.46,18 per 81-day period
A4356,"External urethral clamp or compression device (not to be used for catheter clamp)\, each",Urological Supply,$48.00,Not available
A4357,"Bedside drainage bag\, day or night\, with or without anti-reflux device\, with or without tube\, each",Urological Supply,$9.22,9 per 81-day period
A4358,"Urinary drainage bag\, leg or abdomen\, vinyl\, with or without tube\, with straps\, each",Urological Supply,$6.20,18 per 81-day period
A4361,"Ostomy faceplate\, each",Ostomy Supply,$13.45,3 per 81-day period
A4362,"Skin barrier; solid 4\"" x 4\"" or equivalent\, each",Ostomy Supply,$3.90,90 per 81-day period
A4363,"Ostomy clamp\, any type\, replacement only\, each",Ostomy Supply,$2.00,6 per 81-day period
A4364,"Adhesive\, liquid or equal\, any type",Ostomy Supply,$0.2510,360 per 81-day period
A4367,"Ostomy belt\, each",Ostomy Supply,$7.50,3 per 81-day period
A4368,"Ostomy filter\, any type\, each",Ostomy Supply,$0.30,90 per 81-day period
A4369,"Ostomy skin barrier\, liquid (spray/brush etc)",Ostomy Supply,$0.07,180 milliliters per 81-day period
A4371,"Ostomy skin barrier\, powder",Ostomy Supply,$0.2483,180 gm per 81-day period
A4373,"Ostomy skin barrier with flange (solid\, flexible or accordian)\, with built-in convexity\, any size\, each",Ostomy Supply,$6.36,90 per 81-day period
A4385,"Ostomy skin barrier\, solid 4\"" x 4\"" or equivalent\, extended wear\, without built-in convexity\, each",Ostomy Supply,$5.00,90 per 81-day period
A4387,"Ostomy pouch\, closed with barrier attached\, with built-in convexity (1-Pc)\, each",Ostomy Supply,$3.72,90 per 81-day period
A4388,"Ostomy pouch\, drainable with extended wear barrier attached\, (1-Pc)\, each",Ostomy Supply,$4.50,90 per 81-day period
A4389,"Ostomy pouch\, drainable with barrier attached\, with built-in convexity (1-Pc)\, each",Ostomy Supply,$8.87,90 per 81-day period
A4390,"Ostomy pouch\, drainable with extended wear barrier attached\, with built-in convexity (1-Pc)\, each",Ostomy Supply,$9.50,90 per 81-day period
A4391,"Ostomy pouch\, urinary with extended wear barrier attached (1-Pc)\, each",Ostomy Supply,$6.91,90 per 81-day period
A4392,"Ostomy pouch\, urinary with standard wear barrier attached\, with built-in convexity (1-Pc) each",Ostomy Supply,$7.66,90 per 81-day period
A4393,"Ostomy pouch\, urinary with extended wear barrier attached\, with built-in convexity (1-Pc)\, each",Ostomy Supply,$9.00,90 per 81-day period
A4394,"Ostomy deodorant with or without lubricant\,  for use in ostomy pouch",Ostomy Supply,$0.0781,720 milliliters per 81-day period
A4398,"Ostomy irrigation supply; bag\, each",Ostomy Supply,$14.50,1 per 81-day period
A4399,"Ostomy irrigation supply; cone/catheter\, with or without brush",Ostomy Supply,$11.00,1 per 81-day period
A4400,Ostomy irrigation set,Ostomy Supply,$50.00,1 per 81-day period
A4402,Lubricant,Ostomy/Urological Supply,$0.0208,240 grams per 27-day
A4404,"Ostomy ring\, each",Ostomy Supply,$1.73,30 per 81-day period
A4405,"Ostomy skin barrier\, non-pectin based\, paste",Ostomy Supply,$0.10,360 gm per 81-day period
A4406,"Ostomy skin barrier\, pectin-based\, paste",Ostomy Supply,$0.20,360 gm per 81-day period
A4407,"Ostomy skin barrier with flange (solid\, flexible\, or accordion)\, extended wear\, with built-in convexity\, 4\"" x 4\"" or smaller\, each",Ostomy Supply,$9.00,90 per 81-day period
A4408,"Ostomy skin barrier with flange (solid\, flexible or accordion)\, extended wear\, with built-in convexity\, larger than 4\"" x 4\""\, each",Ostomy Supply,$9.00,90 per 81-day period
A4409,"Ostomy skin barrier with flange (solid\, flexible or accordion)\, extended wear\, without built-in convexity\, 4\"" x 4\"" or smaller\, each",Ostomy Supply,$6.74,90 per 81-day period
A4410,"Ostomy skin barrier with flange (solid\, flexible or accordion)\, extended wear\, without built-in convexity\, larger than 4\"" x 4\""\, each",Ostomy Supply,$7.00,90 per 81-day period
A4411,"Ostomy skin barrier solid 4\"" x 4\"" or equiv. extended wear\, with built-in convexity\, each",Ostomy Supply,$5.34,90 per 81-day period
A4412,"Ostomy pouch\, drainable\, high output\, for use on a barrier with flange (2-Pc system) without filter\, each",Ostomy Supply,$6.00,90 per 81-day period
A4413,"Ostomy pouch\, drainable\, high output\, for use on a barrier with flange (2-Pc system) with filter\, each",Ostomy Supply,$5.50,90 per 81-day period
